review_text,sentiment,char_count,word_count,text_lower,label_encoded
This product is amazing and works perfectly,positive,43,7,this product is amazing and works perfectly,1
"Terrible experience, would not recommend",negative,40,5,"terrible experience, would not recommend",-1
"It's okay, nothing special",neutral,26,4,"it's okay, nothing special",0
"Absolutely love it, best purchase ever",positive,38,6,"absolutely love it, best purchase ever",1
Worst product I've ever bought,positive,30,5,worst product i've ever bought,-1
"Average quality, meets expectations",neutral,35,4,"average quality, meets expectations",0
Outstanding service and great quality,positive,37,5,outstanding service and great quality,1
Disappointing and overpriced,negative,28,3,disappointing and overpriced,-1
Neutral feelings about this item,neutral,32,5,neutral feelings about this item,0
Exceeded all my expectations,positive,28,4,exceeded all my expectations,1
Complete waste of money,negative,23,4,complete waste of money,-1
Fair product for the price,neutral,26,5,fair product for the price,0
Highly recommend to everyone,positive,28,4,highly recommend to everyone,1
"Poor quality, broke after one use",negative,33,6,"poor quality, broke after one use",-1
Decent but could be better,neutral,26,5,decent but could be better,0
"Fantastic results, very satisfied",positive,33,4,"fantastic results, very satisfied",1
Not worth the investment,negative,24,4,not worth the investment,-1
Good value for money,positive,20,4,good value for money,1
Incredible performance and durability,positive,37,4,incredible performance and durability,1
"Subpar quality, very unhappy",negative,28,4,"subpar quality, very unhappy",-1
Meets basic requirements,neutral,24,3,meets basic requirements,0
"Exceptional product, five stars",positive,31,4,"exceptional product, five stars",1
Horrible customer service,negative,25,3,horrible customer service,-1
Acceptable for everyday use,neutral,27,4,acceptable for everyday use,0
"Best in class, truly outstanding",positive,32,5,"best in class, truly outstanding",1
Failed to meet expectations,negative,27,4,failed to meet expectations,-1
"Standard quality, nothing remarkable",neutral,36,4,"standard quality, nothing remarkable",0
Wonderful experience overall,positive,28,3,wonderful experience overall,1
Completely dissatisfied with purchase,negative,37,4,completely dissatisfied with purchase,-1
Moderate performance,neutral,20,2,moderate performance,0
Superb craftsmanship and design,positive,31,4,superb craftsmanship and design,1
"Awful, regret buying this",negative,25,4,"awful, regret buying this",-1
Neither good nor bad,neutral,20,4,neither good nor bad,0
"Brilliant product, works flawlessly",positive,35,4,"brilliant product, works flawlessly",1
"Disastrous purchase, avoid at all costs",negative,39,6,"disastrous purchase, avoid at all costs",-1
Satisfactory results,neutral,20,2,satisfactory results,0
Marvelous quality and finish,positive,28,4,marvelous quality and finish,1
Unacceptable quality standards,negative,30,3,unacceptable quality standards,-1
Fine for basic needs,neutral,20,4,fine for basic needs,0
Exemplary service and product,positive,29,4,exemplary service and product,1
"Rubbish, total disappointment",negative,29,3,"rubbish, total disappointment",-1
Okay for the price point,neutral,24,5,okay for the price point,0
Perfect in every way,positive,20,4,perfect in every way,1
Defective and poorly made,negative,25,4,defective and poorly made,-1
Adequate for occasional use,neutral,27,4,adequate for occasional use,0
Stellar performance throughout,positive,30,3,stellar performance throughout,1
Appalling quality control,negative,25,3,appalling quality control,-1
Reasonable choice overall,neutral,25,3,reasonable choice overall,0
Magnificent product design,positive,26,3,magnificent product design,1
Dreadful experience from start to finish,negative,40,6,dreadful experience from start to finish,-1
Passable but not impressive,neutral,27,4,passable but not impressive,0
Supreme quality and value,positive,25,4,supreme quality and value,1
"Unpleasant surprise, very poor",negative,30,4,"unpleasant surprise, very poor",-1
Mediocre at best,neutral,16,3,mediocre at best,0
Phenomenal results every time,positive,29,4,phenomenal results every time,1
"Horrible quality, fell apart quickly",negative,36,5,"horrible quality, fell apart quickly",-1
So-so performance,neutral,17,2,so-so performance,0
Remarkable innovation and quality,positive,33,4,remarkable innovation and quality,1
Pathetic excuse for a product,negative,29,5,pathetic excuse for a product,-1
Neutral stance on this,neutral,22,4,neutral stance on this,0
Exquisite attention to detail,positive,29,4,exquisite attention to detail,1
Miserable failure of product,negative,28,4,miserable failure of product,-1
Average performance overall,neutral,27,3,average performance overall,0
"Glorious product, highly effective",positive,34,4,"glorious product, highly effective",1
"Ghastly quality, returned immediately",negative,37,4,"ghastly quality, returned immediately",-1
"Standard fare, nothing exciting",neutral,31,4,"standard fare, nothing exciting",0
Splendid craftsmanship evident,positive,30,3,splendid craftsmanship evident,1
Atrocious build quality,negative,23,3,atrocious build quality,-1
Unremarkable but functional,neutral,27,3,unremarkable but functional,0
Delightful experience using this,positive,32,4,delightful experience using this,1
Abysmal product quality,negative,23,3,abysmal product quality,-1
Ordinary results as expected,neutral,28,4,ordinary results as expected,0
Fabulous innovation here,positive,24,3,fabulous innovation here,1
Lamentable purchase decision,negative,28,3,lamentable purchase decision,-1
Indifferent about this product,neutral,30,4,indifferent about this product,0
Superb engineering and design,positive,29,4,superb engineering and design,1
Woeful performance throughout,negative,29,3,woeful performance throughout,-1
Neutral opinion maintained,neutral,26,3,neutral opinion maintained,0
Gorgeous aesthetics and function,positive,32,4,gorgeous aesthetics and function,1
Disgraceful quality for price,negative,29,4,disgraceful quality for price,-1
Fair enough for needs,neutral,21,4,fair enough for needs,0
Wonderful addition to collection,positive,32,4,wonderful addition to collection,1
Regrettable purchase choice,negative,27,3,regrettable purchase choice,-1
Middling quality observed,neutral,25,3,middling quality observed,0
Excellent durability tested,positive,27,3,excellent durability tested,1
Unfortunate experience overall,negative,30,3,unfortunate experience overall,-1
Typical product quality,neutral,23,3,typical product quality,0
Amazing value proposition,positive,25,3,amazing value proposition,1
Frustrating to use daily,negative,24,4,frustrating to use daily,-1
Acceptable quality level,neutral,24,3,acceptable quality level,0
Premium quality evident,positive,23,3,premium quality evident,1
Terrible build materials,negative,24,3,terrible build materials,-1
Moderate satisfaction level,neutral,27,3,moderate satisfaction level,0
Outstanding innovation shown,positive,28,3,outstanding innovation shown,1
Disappointing performance noted,negative,31,3,disappointing performance noted,-1
Standard expectations met,neutral,25,3,standard expectations met,0
Impressive results achieved,positive,27,3,impressive results achieved,1
Poor design choices,negative,19,3,poor design choices,-1
Adequate functionality provided,neutral,31,3,adequate functionality provided,0
Exceptional value delivered,positive,27,3,exceptional value delivered,1
